Date,Close/Last,Volume,Open,High,Low
06/22/2023,$307.25,4889312,$298.21,$307.57,$296.00
06/21/2023,$313.20,3121416,$316.49,$317.67,$313.09
06/20/2023,$317.40,3349665,$317.26,$320.635,$315.0114
06/16/2023,$319.54,5266481,$325.92,$327.93,$319.09
06/15/2023,$323.77,3288910,$319.18,$325.08,$315.34
06/14/2023,$315.05,2421079,$316.02,$318.36,$313.30
06/13/2023,$315.16,3982005,$315.32,$317.4699,$313.39
06/12/2023,$311.48,2642413,$307.83,$311.85,$307.54
06/09/2023,$308.72,2202650,$309.13,$311.17,$306.64
06/08/2023,$307.33,1870305,$310.87,$310.87,$306.71
06/07/2023,$311.03,2489960,$309.48,$312.00,$307.16
06/06/2023,$308.04,2419382,$302.88,$309.31,$301.76
06/05/2023,$304.45,3008075,$305.34,$307.40,$301.89
06/02/2023,$311.39,2272721,$307.50,$312.20,$306.62
06/01/2023,$305.20,2393706,$305.73,$306.09,$300.09
05/31/2023,$305.92,5270111,$304.68,$310.35,$303.00
05/30/2023,$308.43,6238555,$306.21,$318.91,$305.00
05/26/2023,$303.60,4578873,$294.00,$308.60,$293.64
05/25/2023,$291.76,3689628,$288.51,$293.15,$285.18
05/24/2023,$286.82,2815328,$286.03,$288.29,$284.90
05/23/2023,$288.10,2219844,$289.16,$291.04,$287.115
05/22/2023,$290.95,2044094,$289.37,$291.77,$288.87
05/19/2023,$289.91,2213296,$288.60,$291.35,$287.35
05/18/2023,$287.48,1869905,$284.54,$287.92,$284.26
05/17/2023,$284.63,2486572,$281.19,$286.37,$280.23
05/16/2023,$279.19,2079192,$277.09,$280.70,$276.36
05/15/2023,$277.51,2762682,$276.31,$278.53,$274.62
05/12/2023,$277.19,2664437,$273.13,$277.30,$272.50
05/11/2023,$272.27,2915790,$270.31,$272.44,$268.183
05/10/2023,$268.89,2800252,$265.85,$269.91,$264.42
05/09/2023,$263.48,2712007,$262.95,$264.49,$261.68
05/08/2023,$264.82,1843035,$266.02,$267.00,$263.465
05/05/2023,$265.65,2592691,$269.22,$270.38,$264.39
05/04/2023,$266.50,2586187,$273.28,$273.78,$265.68
05/03/2023,$275.18,1951231,$278.12,$279.575,$274.815
05/02/2023,$276.74,1728391,$279.86,$280.38,$274.03
05/01/2023,$279.42,1165609,$279.09,$279.91,$277.4517
04/28/2023,$280.29,2084465,$273.72,$280.43,$273.72
04/27/2023,$275.45,1983743,$273.85,$276.49,$270.83
04/26/2023,$271.21,2009408,$271.85,$273.57,$270.20
04/25/2023,$270.70,1935436,$275.86,$276.71,$270.59
04/24/2023,$277.25,1359774,$275.80,$277.62,$274.86
04/21/2023,$276.33,1600697,$275.73,$277.83,$275.395
04/20/2023,$275.55,2686079,$277.28,$277.57,$274.00
04/19/2023,$279.90,2204721,$278.80,$280.00,$277.51
04/18/2023,$279.96,1893836,$281.36,$281.41,$278.41
04/17/2023,$279.98,2899027,$278.78,$281.82,$278.78
04/14/2023,$279.25,2871702,$283.29,$284.95,$277.78
04/13/2023,$285.27,3164357,$283.00,$285.42,$279.72
04/12/2023,$283.76,2656005,$288.39,$288.65,$282.94
04/11/2023,$286.33,3122468,$283.01,$287.66,$282.55
04/10/2023,$281.68,1575864,$277.99,$281.73,$276.36
04/06/2023,$281.70,2125329,$280.66,$282.24,$278.86
04/05/2023,$281.33,2443241,$286.24,$286.90,$280.91
04/04/2023,$285.84,2331822,$284.44,$287.43,$284.22
04/03/2023,$285.84,2417506,$283.39,$286.455,$283.16
03/31/2023,$285.81,3009370,$283.12,$285.96,$282.61
03/30/2023,$282.66,2293610,$281.00,$283.04,$280.78
03/29/2023,$279.94,2431450,$276.00,$280.26,$276.00
03/28/2023,$275.00,2869463,$273.92,$276.16,$272.60
03/27/2023,$273.96,3743761,$270.73,$274.36,$270.64
03/24/2023,$272.00,4123582,$270.45,$272.08,$264.82
03/23/2023,$271.66,5166858,$259.45,$274.605,$259.30
03/22/2023,$253.27,3059543,$257.26,$261.32,$253.03
03/21/2023,$257.62,2831413,$254.88,$258.50,$253.94
03/20/2023,$252.55,3182150,$250.72,$253.89,$250.01
03/17/2023,$250.00,6470869,$254.33,$255.73,$248.42
03/16/2023,$252.92,4119719,$244.95,$253.80,$243.525
03/15/2023,$246.17,4507978,$247.96,$247.97,$242.80
03/14/2023,$252.48,2925630,$256.37,$256.73,$249.955
03/13/2023,$251.31,3232109,$253.11,$255.2633,$249.235
03/10/2023,$252.95,2924582,$260.14,$260.34,$251.60
03/09/2023,$259.76,1949943,$265.83,$266.70,$258.72
03/08/2023,$263.66,1462724,$263.43,$265.5854,$262.49
03/07/2023,$264.20,2219432,$269.22,$270.04,$263.71
03/06/2023,$269.63,1649147,$270.20,$272.05,$269.08
03/03/2023,$269.20,1596074,$267.91,$269.72,$265.985
03/02/2023,$265.26,2278272,$263.88,$266.19,$261.62
03/01/2023,$263.59,1700671,$265.01,$265.97,$261.75
02/28/2023,$265.55,2160426,$264.69,$268.49,$262.745
02/27/2023,$266.25,1512857,$268.91,$269.99,$265.47
02/24/2023,$266.53,1734977,$267.40,$267.40,$264.24
02/23/2023,$271.23,1885582,$270.77,$272.30,$267.81
02/22/2023,$269.63,1823870,$270.63,$272.49,$268.16
02/21/2023,$269.15,2446186,$272.00,$273.15,$268.78
02/17/2023,$277.05,2722647,$278.78,$279.40,$274.91
02/16/2023,$281.22,1899439,$283.03,$285.46,$278.64
02/15/2023,$287.65,1890200,$282.00,$287.83,$281.97
02/14/2023,$284.77,1821146,$285.47,$288.14,$283.35
02/13/2023,$288.35,1284530,$284.37,$288.41,$284.37
02/10/2023,$283.96,1347616,$281.70,$284.57,$281.02
02/09/2023,$285.16,1751955,$287.42,$289.38,$284.42
02/08/2023,$284.71,1381888,$285.88,$289.18,$283.98
02/07/2023,$287.82,1401144,$282.70,$288.845,$282.50
02/06/2023,$284.48,1262469,$286.00,$287.80,$283.44
02/03/2023,$289.22,2167994,$288.22,$289.68,$286.76
02/02/2023,$294.10,2715989,$289.42,$295.785,$286.86
02/01/2023,$283.60,1797090,$276.60,$285.27,$275.70
01/31/2023,$279.05,1841858,$274.94,$279.05,$273.91
