Date,Close/Last,Volume,Open,High,Low
06/22/2023,$149.80,37729,$150.46,$150.48,$149.37
06/21/2023,$149.29,67195,$145.75,$150.07,$145.75
06/20/2023,$146.67,39725,$151.39,$151.39,$146.28
06/16/2023,$150.65,50940,$150.8503,$150.8503,$150.65
06/15/2023,$150.03,6061,$149.21,$150.05,$149.21
06/14/2023,$149.58,6581,$147.76,$149.58,$147.76
06/13/2023,$147.40,46147,$147.067,$147.40,$146.55
06/12/2023,$146.90,5838,$146.89,$148.83,$145.94
06/09/2023,$146.59,3561,$147.58,$148.36,$146.30
06/08/2023,$147.32,10796,$148.61,$148.61,$147.17
06/07/2023,$148.61,3922,$147.33,$148.92,$147.33
06/06/2023,$147.49,12776,$147.26,$148.94,$146.73
06/05/2023,$145.92,178083,$144.95,$148.47,$144.67
06/02/2023,$144.60,438339,$144.49,$145.24,$144.20
06/01/2023,$145.07,12506,$147.02,$147.02,$143.63
05/31/2023,$147.49,103507,$145.93,$147.49,$145.58
05/30/2023,$145.57,9709,$145.81,$147.61,$144.32
05/26/2023,$143.45,4545,$142.02,$143.45,$141.48
05/25/2023,$142.74,19485,$142.92,$142.92,$140.97
05/24/2023,$142.66,59940,$141.83,$142.66,$141.83
05/23/2023,$142.47,4159,$144.05,$145.10,$142.425
05/22/2023,$143.225,5621,$143.33,$145.11,$143.18
05/19/2023,$143.97,6823,$144.58,$146.0961,$143.97
05/18/2023,$143.83,327216,$144.62,$144.67,$143.67
05/17/2023,$145.60,11795,$145.91,$146.58,$144.71
05/16/2023,$146.50,121688,$148.04,$148.24,$145.83
05/15/2023,$148.39,107022,$150.92,$150.92,$148.07
05/12/2023,$151.32,3984,$151.46,$152.94,$149.95
05/11/2023,$152.1625,2999,$151.02,$152.1625,$150.635
05/10/2023,$152.05,2466,$152.22,$152.22,$150.34
05/09/2023,$151.71,292657,$152.00,$152.00,$150.83
05/08/2023,$152.22,165017,$151.9752,$152.49,$151.9752
05/05/2023,$151.40,2655,$152.21,$152.21,$151.20
05/04/2023,$150.58,10355,$151.88,$152.23,$147.93
05/03/2023,$151.11,4206,$151.61,$152.40,$149.84
05/02/2023,$151.00,12974,$151.08,$151.08,$151.00
05/01/2023,$150.93,14347,$150.92,$151.01,$150.74
04/28/2023,$149.89,113423,$148.98,$150.04,$148.76
04/27/2023,$149.15,3819,$148.14,$149.31,$147.93
04/26/2023,$148.47,3165,$150.38,$150.38,$148.16
04/25/2023,$150.97,215845,$149.73,$150.97,$149.73
04/24/2023,$149.06,1351,$147.88,$149.06,$147.88
04/21/2023,$147.99,4458,$147.63,$148.56,$147.63
04/20/2023,$148.11,5287,$147.68,$148.19,$147.21
04/19/2023,$147.38,3982,$146.88,$147.38,$146.80
04/18/2023,$147.80,108190,$148.23,$148.23,$147.37
04/17/2023,$147.345,1572,$147.69,$147.69,$146.91
04/14/2023,$148.02,5075,$147.62,$148.02,$147.24
04/13/2023,$147.27,2172,$148.28,$148.28,$145.96
04/12/2023,$148.07,8235,$145.35,$148.67,$144.53
04/11/2023,$147.24,11862,$146.79,$147.35,$146.79
04/10/2023,$146.90,4699,$146.00,$146.90,$145.74
04/06/2023,$145.50,150736,$144.08,$145.56,$144.08
04/05/2023,$142.03,559,$142.03,$142.03,$142.03
04/04/2023,$141.25,2914,$142.08,$142.08,$141.01
04/03/2023,$142.25,12521,$142.30,$142.8601,$142.25
03/31/2023,$142.33,32502,$139.77,$142.33,$139.77
03/30/2023,$139.29,5660,$138.88,$139.62,$138.88
03/29/2023,$139.29,3632,$139.77,$139.96,$139.29
03/28/2023,$138.38,2721,$139.68,$139.93,$138.38
03/27/2023,$138.43,1953,$138.27,$138.71,$138.27
03/24/2023,$136.19,1490,$136.19,$136.19,$136.19
03/23/2023,$133.86,8895,$134.20,$134.21,$133.86
03/22/2023,$136.66,7090,$139.8604,$139.8604,$136.66
03/21/2023,$139.73,3261,$139.60,$141.25,$139.52
03/20/2023,$138.81,13824,$140.84,$141.18,$138.81
03/17/2023,$140.94,2978,$141.03,$141.31,$140.94
03/16/2023,$141.71,48510,$138.90,$141.71,$138.39
03/15/2023,$138.85,12342,$138.39,$139.40,$137.27
03/14/2023,$140.34,15872,$137.68,$141.74,$137.68
03/13/2023,$131.57,34421,$136.25,$140.48,$131.57
03/10/2023,$138.85,6224,$140.88,$142.04,$138.02
03/09/2023,$141.44,10041,$143.82,$143.91,$141.19
03/08/2023,$143.09,4920,$142.43,$143.14,$141.10
03/07/2023,$143.22,5482,$146.37,$146.63,$143.20
03/06/2023,$145.47,139392,$142.91,$146.15,$142.91
