Date,Close/Last,Volume,Open,High,Low
06/22/2023,$372.64,1197487,$368.28,$373.33,$365.59
06/21/2023,$370.65,1542693,$367.16,$372.06,$365.51
06/20/2023,$368.68,1721720,$374.40,$374.88,$367.84
06/16/2023,$375.29,4372161,$376.75,$377.00,$373.31
06/15/2023,$376.44,1228551,$375.37,$378.50,$372.99
06/14/2023,$374.31,1553188,$375.24,$376.45,$371.93
06/13/2023,$373.26,2066012,$364.23,$373.33,$363.23
06/12/2023,$362.01,1021434,$362.47,$362.47,$358.585
06/09/2023,$360.76,1121612,$362.49,$362.49,$358.75
06/08/2023,$362.21,1056376,$362.10,$362.69,$359.36
06/07/2023,$362.29,1440967,$358.62,$363.60,$358.44
06/06/2023,$359.74,1638010,$362.31,$364.745,$357.79
06/05/2023,$362.81,1724564,$361.76,$367.22,$360.23
06/02/2023,$360.47,1337751,$357.60,$361.64,$357.11
06/01/2023,$355.49,1239491,$355.28,$357.33,$353.23
05/31/2023,$353.66,2958124,$354.11,$357.41,$352.44
05/30/2023,$354.91,1801854,$356.20,$356.7625,$350.60
05/26/2023,$356.21,1805824,$357.12,$360.63,$354.80
05/25/2023,$356.59,1994795,$356.15,$359.12,$354.94
05/24/2023,$354.86,1801252,$351.32,$356.53,$351.05
05/23/2023,$353.94,2156987,$364.00,$364.01,$353.70
05/22/2023,$366.39,1207860,$372.50,$373.07,$366.32
05/19/2023,$371.49,1140930,$369.57,$372.40,$368.94
05/18/2023,$368.19,1116124,$363.77,$368.718,$362.215
05/17/2023,$365.01,1296363,$367.13,$367.13,$364.01
05/16/2023,$365.90,1065285,$367.29,$368.05,$364.56
05/15/2023,$368.80,1378803,$371.09,$371.315,$365.46
05/12/2023,$370.33,1189465,$366.87,$370.76,$366.4501
05/11/2023,$367.04,1336724,$368.43,$369.66,$365.02
05/10/2023,$368.90,1304325,$369.84,$370.18,$364.00
05/09/2023,$364.70,1015506,$365.00,$367.4999,$362.73
05/08/2023,$365.67,1261695,$368.00,$368.67,$365.05
05/05/2023,$366.37,1113588,$364.22,$367.46,$363.58
05/04/2023,$360.80,1545832,$362.64,$365.21,$357.4647
05/03/2023,$363.50,1418886,$369.51,$371.26,$363.36
05/02/2023,$370.04,1124556,$370.44,$371.72,$367.34
05/01/2023,$372.31,1018099,$370.80,$373.58,$370.065
04/28/2023,$369.45,1878866,$365.63,$370.54,$364.90
04/27/2023,$365.64,1898616,$365.59,$367.90,$359.825
04/26/2023,$365.00,2055575,$364.97,$366.13,$362.28
