Date,Close/Last,Volume,Open,High,Low
06/22/2023,$228.39,6275806,$226.36,$228.93,$225.50
06/21/2023,$227.25,7032143,$226.12,$228.63,$224.98
06/20/2023,$226.47,12312630,$227.00,$229.5675,$226.18
06/16/2023,$228.91,13628900,$226.45,$229.7995,$226.08
06/15/2023,$226.17,12533970,$222.02,$227.11,$221.37
06/14/2023,$223.44,9160723,$223.74,$225.47,$222.58
06/13/2023,$223.40,6868741,$225.62,$227.15,$222.63
06/12/2023,$226.17,8621521,$224.41,$226.45,$223.63
06/09/2023,$223.56,6385287,$223.64,$225.18,$222.76
06/08/2023,$223.05,6250073,$225.09,$225.135,$222.41
06/07/2023,$225.27,8517188,$227.00,$227.55,$221.02
06/06/2023,$228.22,6020168,$226.69,$229.25,$226.16
06/05/2023,$226.77,4858949,$227.91,$228.33,$225.31
06/02/2023,$228.79,5897069,$228.81,$230.27,$227.42
06/01/2023,$226.50,7003563,$222.73,$226.71,$222.425
05/31/2023,$221.03,20460620,$219.96,$221.53,$216.14
05/30/2023,$221.64,6916013,$225.01,$225.47,$219.75
05/26/2023,$225.01,5067460,$223.82,$226.21,$223.34
05/25/2023,$223.38,6827756,$222.45,$224.69,$220.49
05/24/2023,$222.25,6730750,$222.55,$223.10,$220.03
05/23/2023,$224.58,8537241,$229.27,$229.49,$223.66
05/22/2023,$231.28,3987775,$233.31,$233.87,$231.175
05/19/2023,$233.31,5399403,$234.00,$234.34,$231.94
05/18/2023,$233.60,6621870,$232.40,$234.149,$231.13
05/17/2023,$232.65,4990276,$232.73,$233.8892,$230.55
05/16/2023,$230.47,4289809,$232.56,$233.0988,$229.63
05/15/2023,$232.81,2843284,$231.19,$232.83,$230.55
05/12/2023,$231.38,3432730,$232.00,$232.73,$229.82
05/11/2023,$231.01,3818035,$230.75,$231.52,$228.27
05/10/2023,$231.27,5245220,$234.30,$234.81,$228.90
05/09/2023,$233.26,4352067,$231.08,$234.09,$230.821
05/08/2023,$232.23,2938546,$231.25,$233.45,$231.25
05/05/2023,$231.78,6237483,$228.34,$232.34,$227.29
05/04/2023,$225.60,5648862,$224.84,$226.055,$223.48
05/03/2023,$225.98,4093320,$226.98,$228.67,$225.92
05/02/2023,$226.98,5244016,$231.95,$232.37,$226.21
05/01/2023,$232.51,4571070,$232.87,$234.59,$231.51
04/28/2023,$232.73,11627880,$228.65,$233.5727,$228.06
04/27/2023,$229.01,7128188,$228.67,$229.63,$226.61
04/26/2023,$228.15,8400370,$231.22,$232.77,$226.72
04/25/2023,$229.59,6076450,$233.02,$235.02,$229.425
04/24/2023,$232.76,9124050,$234.23,$235.15,$231.51
04/21/2023,$234.05,6771589,$235.00,$235.568,$233.38
04/20/2023,$234.60,4925659,$232.46,$234.67,$231.50
04/19/2023,$232.57,3833933,$234.00,$234.06,$231.85
04/18/2023,$233.60,4796178,$233.75,$234.33,$231.69
04/17/2023,$233.48,4865041,$234.02,$234.05,$230.94
04/14/2023,$234.02,9781266,$232.99,$234.99,$232.24
04/13/2023,$232.69,7615523,$229.46,$232.84,$228.80
04/12/2023,$227.81,4373002,$229.93,$231.59,$227.33
04/11/2023,$228.45,4513395,$227.00,$229.135,$226.20
04/10/2023,$226.43,4952351,$225.56,$226.48,$224.32
04/06/2023,$225.99,4285206,$226.16,$226.73,$224.68
04/05/2023,$228.17,4813750,$226.78,$228.47,$226.55
04/04/2023,$227.66,5254725,$229.00,$230.05,$226.83
04/03/2023,$229.00,6421512,$225.23,$229.16,$224.12
03/31/2023,$225.46,9508978,$223.60,$225.84,$223.29
03/30/2023,$222.36,5383945,$223.92,$224.235,$221.21
03/29/2023,$223.30,4482956,$222.29,$223.55,$220.92
03/28/2023,$220.33,6418581,$222.82,$223.33,$218.65
03/27/2023,$221.81,7211050,$222.59,$224.08,$221.39
03/24/2023,$221.04,4792394,$220.67,$221.33,$218.25
03/23/2023,$222.59,6427712,$220.44,$225.25,$220.26
03/22/2023,$220.04,6700556,$222.50,$224.90,$219.92
03/21/2023,$221.95,8971367,$221.34,$222.505,$218.68
03/20/2023,$218.15,9817486,$217.00,$220.545,$216.84
03/17/2023,$217.39,18801180,$214.87,$218.66,$214.87
03/16/2023,$217.45,13677050,$215.17,$217.58,$208.76
03/15/2023,$216.37,8372233,$214.41,$216.91,$213.67
03/14/2023,$218.66,7985583,$218.00,$219.87,$216.04
03/13/2023,$214.47,6810947,$214.63,$217.85,$212.50
03/10/2023,$216.14,6639144,$219.03,$219.12,$215.48
03/09/2023,$220.01,5066656,$221.40,$224.37,$219.66
03/08/2023,$222.19,4195134,$221.96,$222.93,$221.18
03/07/2023,$223.17,4386798,$226.75,$227.38,$223.08
03/06/2023,$226.75,5737589,$223.93,$227.415,$223.69
03/03/2023,$223.77,6055410,$220.20,$224.015,$219.90
03/02/2023,$219.06,5539467,$217.89,$219.60,$217.09
03/01/2023,$218.36,4792656,$219.46,$220.27,$216.43
02/28/2023,$219.94,5385356,$220.00,$221.7731,$219.50
