Date,Close/Last,Volume,Open,High,Low
06/09/2023,$326.79,22528950,$324.99,$329.99,$324.41
06/08/2023,$325.26,23277710,$323.935,$326.64,$323.35
06/07/2023,$323.38,40717130,$331.65,$334.49,$322.50
06/06/2023,$333.68,20396220,$335.33,$335.37,$332.17
06/05/2023,$335.94,21307050,$335.22,$338.5599,$334.6601
06/02/2023,$335.40,25873770,$334.247,$337.50,$332.55
06/01/2023,$332.58,26773850,$325.93,$333.53,$324.72
05/31/2023,$328.39,45950550,$332.29,$335.94,$327.33
05/30/2023,$331.21,29503070,$335.23,$335.74,$330.52
05/26/2023,$332.89,36630630,$324.02,$333.40,$323.88
05/25/2023,$325.92,43301740,$323.24,$326.90,$320.00
05/24/2023,$313.85,23384890,$314.73,$316.50,$312.61
05/23/2023,$315.26,30797170,$320.03,$322.72,$315.25
05/22/2023,$321.18,24115660,$318.60,$322.59,$318.01
05/19/2023,$318.34,27546700,$316.74,$318.75,$316.37
05/18/2023,$318.52,27275990,$314.53,$319.04,$313.72
05/17/2023,$314.00,24315010,$312.29,$314.43,$310.74
05/16/2023,$311.74,26730350,$309.83,$313.71,$309.83
05/15/2023,$309.46,16336550,$309.095,$309.905,$307.59
05/12/2023,$308.97,19774700,$310.55,$310.65,$306.60
05/11/2023,$310.11,31680180,$310.10,$311.12,$306.2601
05/10/2023,$312.31,30078040,$308.62,$313.00,$307.67
05/09/2023,$307.00,21340830,$308.00,$310.04,$306.31
05/08/2023,$308.65,21318610,$310.13,$310.20,$306.09
05/05/2023,$310.65,28197050,$305.72,$311.97,$304.27
05/04/2023,$305.41,22519910,$306.24,$307.7626,$303.40
05/03/2023,$304.40,22360750,$306.62,$308.61,$304.09
05/02/2023,$305.41,26404430,$307.76,$309.18,$303.91
05/01/2023,$305.56,21294120,$306.97,$308.60,$305.15
04/28/2023,$307.26,36469610,$304.01,$308.93,$303.31
04/27/2023,$304.83,46462640,$295.97,$305.20,$295.25
04/26/2023,$295.37,64599180,$296.70,$299.57,$292.73
04/25/2023,$275.42,45772240,$279.51,$281.60,$275.37
04/24/2023,$281.77,26611010,$282.09,$284.95,$278.72
04/21/2023,$285.76,21676390,$285.01,$286.27,$283.0608
04/20/2023,$286.11,23244360,$285.25,$289.03,$285.08
04/19/2023,$288.45,17150270,$285.99,$289.05,$284.54
04/18/2023,$288.37,20161850,$291.57,$291.755,$287.01
04/17/2023,$288.80,23836220,$289.93,$291.60,$286.16
04/14/2023,$286.14,20987920,$287.00,$288.48,$283.69
04/13/2023,$289.84,24222680,$283.59,$289.90,$283.17
04/12/2023,$283.49,27403430,$284.79,$287.01,$281.96
04/11/2023,$282.83,27276590,$285.75,$285.98,$281.64
04/10/2023,$289.39,23102990,$289.208,$289.60,$284.71
04/06/2023,$291.60,29770330,$283.21,$292.08,$282.03
04/05/2023,$284.34,22064770,$285.85,$287.15,$282.92
04/04/2023,$287.18,25824300,$287.23,$290.4499,$285.67
04/03/2023,$287.23,24883340,$286.52,$288.27,$283.95
03/31/2023,$288.30,32765980,$283.73,$289.27,$283.00
03/30/2023,$284.05,25053410,$284.23,$284.46,$281.48
03/29/2023,$280.51,25087030,$278.96,$281.1398,$278.41
03/28/2023,$275.23,21878650,$275.79,$276.14,$272.0451
03/27/2023,$276.38,26840210,$280.50,$281.4589,$275.52
03/24/2023,$280.57,28199960,$277.24,$280.63,$275.28
03/23/2023,$277.66,36610880,$277.94,$281.06,$275.20
03/22/2023,$272.29,34873330,$273.40,$281.04,$272.18
03/21/2023,$273.78,34558700,$274.88,$275.00,$269.5191
03/20/2023,$272.23,43466650,$276.98,$277.48,$269.85
03/17/2023,$279.43,69527370,$278.26,$283.33,$276.3201
03/16/2023,$276.20,54832140,$265.205,$276.56,$263.28
03/15/2023,$265.44,46028050,$259.98,$266.48,$259.21
03/14/2023,$260.79,33620290,$256.75,$261.07,$255.86
03/13/2023,$253.92,33339720,$247.40,$257.91,$245.73
03/10/2023,$248.59,28333930,$251.08,$252.79,$247.60
03/09/2023,$252.32,26653390,$255.82,$259.56,$251.58
03/08/2023,$253.70,17340220,$254.04,$254.5417,$250.81
03/07/2023,$254.15,21473180,$256.30,$257.69,$253.39
03/06/2023,$256.87,24109850,$256.425,$260.12,$255.98
03/03/2023,$255.29,30760140,$252.19,$255.62,$251.39
03/02/2023,$251.11,24833650,$246.55,$251.40,$245.61
03/01/2023,$246.27,27565260,$250.76,$250.93,$245.79
02/28/2023,$249.42,22490950,$249.07,$251.49,$248.73
02/27/2023,$250.16,21190040,$252.46,$252.82,$249.39
02/24/2023,$249.22,24990910,$249.96,$251.00,$248.10
02/23/2023,$254.77,29219100,$255.56,$256.84,$250.48
02/22/2023,$251.51,22491060,$254.09,$254.34,$250.34
02/21/2023,$252.67,28397440,$254.48,$255.49,$251.59
02/17/2023,$258.06,30000060,$259.39,$260.09,$256.00
02/16/2023,$262.15,29603620,$264.02,$266.74,$261.90
02/15/2023,$269.32,28962160,$268.32,$270.73,$266.18
02/14/2023,$272.17,37047920,$272.67,$274.97,$269.28
02/13/2023,$271.32,44630920,$267.64,$274.60,$267.15
02/10/2023,$263.10,25818490,$261.53,$264.09,$260.662
02/09/2023,$263.62,42375100,$273.80,$273.98,$262.80
02/08/2023,$266.73,54686050,$273.20,$276.76,$266.21
02/07/2023,$267.56,50841370,$260.53,$268.775,$260.08
02/06/2023,$256.77,22518000,$257.44,$258.30,$254.78
02/03/2023,$258.35,29077260,$259.542,$264.20,$257.10
02/02/2023,$264.60,39940440,$258.82,$264.69,$257.25
02/01/2023,$252.75,31259910,$248.00,$255.18,$245.47
01/31/2023,$247.81,26541070,$243.45,$247.95,$242.945
01/30/2023,$242.71,25867370,$244.51,$245.60,$242.20
01/27/2023,$248.16,26498940,$248.99,$249.83,$246.83
01/26/2023,$248.00,33454490,$243.65,$248.31,$242.00
01/25/2023,$240.61,66526640,$234.48,$243.30,$230.90
01/24/2023,$242.04,40234440,$242.50,$243.95,$240.44
01/23/2023,$242.58,31933950,$241.10,$245.165,$239.65
01/20/2023,$240.22,35389810,$234.855,$240.74,$234.51
01/19/2023,$231.93,28623030,$233.78,$235.52,$230.68
01/18/2023,$235.81,30028690,$241.565,$242.38,$235.52
01/17/2023,$240.35,29831260,$237.97,$240.91,$237.09
01/13/2023,$239.23,21333270,$237.002,$239.37,$234.92
01/12/2023,$238.51,27269490,$235.26,$239.90,$233.56
01/11/2023,$235.77,28669330,$231.29,$235.95,$231.11
01/10/2023,$228.85,27033880,$227.755,$231.31,$227.33
01/09/2023,$227.12,27369780,$226.45,$231.2366,$226.41
01/06/2023,$224.93,43613570,$223.00,$225.7601,$219.35
01/05/2023,$222.31,39585620,$227.20,$227.55,$221.7602
01/04/2023,$229.10,50623390,$232.275,$232.87,$225.96
01/03/2023,$239.58,25740040,$243.08,$245.75,$237.40
12/30/2022,$239.82,21938470,$238.21,$239.96,$236.66
12/29/2022,$241.01,19770690,$235.65,$241.92,$235.65
12/28/2022,$234.53,17457100,$236.89,$239.72,$234.17
12/27/2022,$236.96,16688650,$238.70,$238.93,$235.83
12/23/2022,$238.73,21206980,$236.11,$238.87,$233.9428
12/22/2022,$238.19,28651660,$241.255,$241.99,$233.87
12/21/2022,$244.43,23690610,$241.69,$245.615,$240.11
12/20/2022,$241.80,25150800,$239.40,$242.91,$238.42
12/19/2022,$240.45,29696440,$244.86,$245.21,$238.71
12/16/2022,$244.69,86101990,$248.55,$249.84,$243.51
