Date,Close/Last,Volume,Open,High,Low
06/22/2023,$110.46,6003494,$110.82,$111.25,$109.78
06/21/2023,$109.98,8377812,$109.13,$110.36,$108.71
06/20/2023,$109.54,10606880,$111.41,$112.815,$108.96
06/16/2023,$113.59,14445510,$114.00,$114.76,$113.06
06/15/2023,$112.41,10374200,$111.83,$112.815,$110.155
06/14/2023,$112.86,17415460,$107.48,$113.40,$107.48
06/13/2023,$106.78,8460508,$107.14,$107.4752,$106.2935
06/12/2023,$106.83,7965771,$106.29,$106.85,$104.60
06/09/2023,$105.86,5796002,$105.91,$106.28,$105.35
06/08/2023,$106.20,9139448,$107.16,$107.52,$105.67
06/07/2023,$107.09,11123900,$106.04,$108.24,$105.42
06/06/2023,$106.19,7896257,$105.49,$106.75,$105.20
06/05/2023,$105.20,7434017,$107.88,$107.5601,$105.18
06/02/2023,$107.78,11838230,$107.63,$108.42,$106.13
06/01/2023,$103.63,12025210,$104.18,$104.60,$102.90
05/31/2023,$105.26,21465160,$105.70,$106.17,$104.83
05/30/2023,$106.52,9335188,$108.40,$108.88,$106.2677
05/26/2023,$107.51,7911202,$107.00,$108.45,$107.00
05/25/2023,$107.48,6729847,$108.35,$108.9708,$107.42
05/24/2023,$108.29,8503192,$109.00,$109.10,$107.2016
05/23/2023,$108.78,11790410,$109.77,$111.06,$108.1871
05/22/2023,$110.18,12710290,$112.85,$112.85,$110.02
05/19/2023,$114.76,11674270,$114.56,$115.49,$113.10
05/18/2023,$118.87,5970500,$117.43,$119.145,$116.85
05/17/2023,$116.98,7765386,$116.38,$117.13,$115.25
05/16/2023,$116.48,8307929,$117.50,$117.8392,$116.12
05/15/2023,$119.83,5518188,$119.82,$119.99,$118.005
05/12/2023,$120.21,6574233,$120.99,$121.1953,$119.03
05/11/2023,$122.22,5923069,$123.45,$123.86,$121.90
05/10/2023,$123.51,5052636,$126.29,$126.455,$122.17
05/09/2023,$125.10,4082170,$125.27,$125.66,$124.17
05/08/2023,$126.88,3892645,$127.26,$127.69,$125.975
05/05/2023,$126.59,4887759,$125.93,$127.0283,$125.22
05/04/2023,$123.67,6177127,$124.94,$125.185,$122.82
05/03/2023,$126.74,4560081,$125.49,$128.38,$123.67
05/02/2023,$127.26,3831644,$127.15,$127.58,$125.165
05/01/2023,$127.92,4112782,$126.92,$128.68,$126.86
04/28/2023,$126.72,4421419,$125.15,$127.07,$124.96
04/27/2023,$125.70,4252135,$124.44,$126.01,$123.14
04/26/2023,$123.84,4003190,$124.21,$124.98,$123.29
04/25/2023,$124.66,4383342,$126.53,$126.77,$124.05
04/24/2023,$127.09,3790923,$125.51,$127.13,$125.145
