Date,Close/Last,Volume,Open,High,Low
06/22/2023,$152.64,7089588,$153.35,$153.585,$151.974
06/21/2023,$154.88,7328152,$152.67,$155.96,$152.50
06/20/2023,$153.68,10443230,$156.15,$156.57,$152.24
06/16/2023,$157.26,22875220,$158.57,$159.24,$157.26
06/15/2023,$158.28,7705434,$157.32,$159.79,$157.32
06/14/2023,$157.09,7721057,$159.98,$160.77,$156.145
06/13/2023,$158.51,7660771,$158.52,$160.58,$158.27
06/12/2023,$157.33,7162092,$157.06,$159.3275,$156.23
06/09/2023,$158.86,6669832,$159.28,$160.39,$158.62
06/08/2023,$159.24,7142908,$160.16,$160.49,$157.09
06/07/2023,$159.83,9900022,$156.55,$160.21,$156.50
06/06/2023,$155.79,6176434,$153.33,$156.16,$153.20
06/05/2023,$155.51,6443842,$158.45,$157.89,$155.24
06/02/2023,$156.26,9464262,$154.58,$156.75,$153.61
06/01/2023,$152.16,9887729,$151.30,$153.74,$149.74
05/31/2023,$150.62,13346440,$151.544,$152.4201,$150.36
05/30/2023,$153.12,7814766,$151.67,$153.26,$151.21
05/26/2023,$154.08,7736203,$155.29,$155.63,$153.46
05/25/2023,$154.56,7037671,$154.68,$155.625,$153.50
05/24/2023,$157.27,7063999,$157.95,$158.57,$156.29
05/23/2023,$156.85,10436210,$154.14,$157.6795,$153.84
05/22/2023,$152.44,11660950,$153.79,$154.83,$152.09
05/19/2023,$155.23,8100946,$154.89,$156.44,$153.985
05/18/2023,$154.01,7477698,$152.87,$154.24,$151.53
05/17/2023,$155.71,6169555,$154.785,$156.42,$153.96
05/16/2023,$153.51,7009079,$156.48,$157.02,$153.3289
05/15/2023,$157.20,5096748,$157.23,$158.1629,$156.23
05/12/2023,$156.62,4898904,$157.00,$157.93,$155.56
05/11/2023,$156.22,6666132,$155.38,$156.32,$153.89
05/10/2023,$157.09,6161227,$160.44,$160.44,$155.881
05/09/2023,$159.12,5019809,$158.11,$160.415,$157.9125
05/08/2023,$159.58,5028202,$161.57,$162.30,$159.52
05/05/2023,$160.21,5801986,$159.30,$161.12,$158.78
05/04/2023,$156.22,7500368,$157.11,$158.1999,$155.42
05/03/2023,$156.83,7538057,$158.15,$159.57,$156.74
05/02/2023,$160.04,10701670,$165.32,$165.38,$158.45
05/01/2023,$167.24,6099800,$167.71,$168.73,$166.36
04/28/2023,$168.58,10036290,$164.50,$168.94,$164.05
04/27/2023,$166.95,6417225,$166.43,$167.3866,$165.07
04/26/2023,$165.98,5927431,$168.21,$168.95,$165.23
